Timestamp,Please select your country:,What region do you work in?,What city do you work in?,Are you a chartered engineer?,What province do you work in?,What city do you work in?,Select your highest level of professional attainment?,What state do you live in?,What is your highest level of professional attainment?,What state do you work in?,What city do you work in?,Select your highest level of professional attainment?,Select your highest level of education attainment,Company Name (Optional),Company Head Count,What is your job title?,Which best describes your participation in the Civil Engineering industry?,Which sub discipline do you work in?,Do you work in the Public or Private sector?,How many years of post-graduate experience do you have in Civil Engineering?,What is your current salary?,If you received a sign-on bonus how much was it?,How much did you earn in discretionary bonuses?,What is the maximum contribution offered by your employer as a percentage of your salary for an ESOP?,What is the maximum contribution offered by your employer as a percentage of your salary for a 401k?,If you are a compensated with commission how much was your commission?,Is health insurance available?,How many days of paid time off do you receive per  year? (Sick time + Vacation Time),How many days per week do/can you work from home?,How many hours per week do you work on average?,How are you compensated for overtime?,Are you actively looking to change jobs?,Does your employer offer any student loan reimbursement?,Do you have a company vehicle?,"What is your overall job satisfaction considering your pay, work-life balance, benefits, community standing, and all other factors?","What salary would it take for you to change employers for a similar role, assuming the benefits are the same?",If there is any additional relevant information about your job you feel someone who looks at your responses needs to know please provide it below.,Please select your gender,"How many hours of paternity leave does your company offer, if any?","How many hours of maternity leave does your company offer, if any?"
8/12/2022 12:31:17,United States of America,,,,,,,,,Texas,DFW,EIT,Bachelors Degree,,10000,Assistant Engineer,Full Time,Power/Electrical,Private,3,73000,,10000,5,5,0,Yes and fully covered,17,1,45,Straight time (1.0x),No,No,No,6,90000,,Male,40,40
8/12/2022 12:31:30,United States of America,,,,,,,,,Pennsylvania,West Chester,EIT,Bachelors Degree,,50,Civil Designer,Full Time,Land Development,Private,0.25,66500,,0,0.02,0.02,0,Yes and fully covered,15,0,40,Time and a half (1.5x),No,No,No,8,"75,000",,Male,Unknown,
8/12/2022 12:33:09,United States of America,,,,,,,,,North Carolina,Raleigh,EIT,Bachelors Degree,,350,Staff professional ,Full Time,Water Resources,Public,3,75000,,5000,1.5,4,0,Yes but I still pay a premium,30,5,42,Not compensated (Exempt),No,No,No,9,95000,"My work is exclusively stormwater, I have a pretty even split of public and private work. I made up the ESOP contribution because I haven’t received one yet",Male,40,80
8/12/2022 12:35:49,United States of America,,,,,,,,,California,Oakland,None,Masters Degree,,15,Staff Engineer,Full Time,Structural,Private,1,80000,,0,0,3,0,Yes and fully covered,10,4-5,43,Not compensated (Exempt),Yes,No,No,4,115000,Recent grad with 6 years general contracting exp. Prior to college and two internships.,Male,0,0
8/12/2022 12:37:53,United States of America,,,,,,,,,Oregon,Beaverton,EIT,Bachelors Degree,,50,Civil/Structural I,Full Time,Structural,Private,0,70000,,0,0,2100,0,Yes and fully covered,26,0,40,Not compensated (Exempt),No,No,No,8,80000,,Male,0,0
8/12/2022 12:40:09,United States of America,,,,,,,,,Florida,Sarasota,EIT,Bachelors Degree,,5000,Engineering Analyst,Full Time,Land Development,Private,2,71000,1500,5000,0,8,0,Yes but I still pay a premium,14,0,45,Not compensated (Exempt),Yes,No,No,3,80000,,Male,Unsure,Unsure
8/12/2022 12:44:14,United States of America,,,,,,,,,Utah,Lehi,EIT,Bachelors Degree,Advanced Engineering and Environmental Services,350,EIT,Full Time,Water Resources,Private,1,64575,,2000,0,4,0,Yes and fully covered,15,1,42,Straight time (1.0x),No,No,No,8,75000,,Male,0,0
8/12/2022 12:45:33,United States of America,,,,,,,,,Virginia,MCOL,PE,Bachelors Degree,,5000+,Senior Civil,Full Time,Land Development,Private,9,95000,,35000,11,3,0,Yes but I still pay a premium,176 hours,1,40,Not compensated (Exempt),No,Yes,No,8,160k overall comp,,Male,40,40
8/12/2022 12:48:09,United States of America,,,,,,,,,Washington,Seattle,PE,Masters Degree,USACE,600,Civil Engineer,Full Time,Government/Municipal,Public,6,95000,0,200,3,5,0,Yes and fully covered,32.5,7,5,Straight time (1.0x),No,Yes,Yes,10,120000,,Male,480,480
8/12/2022 12:50:14,United States of America,,,,,,,,,Washington,Tukwila,EIT,Bachelors Degree,,10,EIT,Full Time,Land Development,Private,0,47840,,0,0,4,0,Yes and fully covered,30,3,8,Straight time (1.0x),No,No,No,7,60000,"First job out of college with no relevant experience (internships, lab, etc) just a bit of retail.",Prefer not to say,80,80
